time, alpha, eas, radaralt, verticalspeed, power, pitch 
0.0100858211517, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.55036687851, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.560379981995, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.570380926132, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.580384016037, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.590384960175, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.600385904312, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.61038684845, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.620388031006, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.630388975143, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.640390872955, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.650391817093, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.660392999649, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.670394897461, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.680395841599, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.690397024155, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.700397968292, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.71039891243, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.720400810242, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.730402946472, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.740404844284, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.75040602684, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.760406970978, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.770407915115, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.780408859253, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.790409803391, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.800410985947, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.810411930084, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.820412874222, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.830413818359, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.840415000916, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.850416898727, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.860417842865, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.870419979095, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.880420923233, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.890421867371, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.900424003601, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.910424947739, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.920425891876, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.930426836014, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.94042801857, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.950428962708, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.960429906845, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.970430850983, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.98043179512, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
0.990432024002, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.00043296814, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.01043391228, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.02043485641, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.03043580055, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.04043602943, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.05043697357, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.06043887138, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.07043981552, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.08044099808, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
1.09044289589, 2.98704242706, 296.143235027, 530.861245316, 0.0, 0.0, 0.0603774152696 
